city_ascii,lat,lng,country,division
Jiutepec,18.8833,-99.1667,Mexico,North America
Batumi,41.6458,41.6417,Georgia,Europe
Pathankot,32.2689,75.6497,India,Asia
Nazilli,37.9125,28.3206,Turkey,Asia
Frederick,39.4336,-77.4141,United States,North America
Pitesti,44.8667,24.8833,Romania,Europe
Chlef,36.1647,1.3317,Algeria,Africa
Chetumal,18.5036,-88.3053,Mexico,North America
Angers,47.4736,-0.5542,France,Europe
Hanam,37.5392,127.2147,"Korea, South",Asia
Matagalpa,12.9167,-85.9167,Nicaragua,North America
Vidisha,23.5239,77.8061,India,Asia
Paranagua,-25.5208,-48.5094,Brazil,Oceania
Cam Pha,21.0094,107.2728,Vietnam,Asia
Esmeraldas,0.95,-79.6667,Ecuador,Oceania
Kariya,34.9893,137.0021,Japan,Asia
Lake Charles,30.2012,-93.2122,United States,North America
Odessa,31.8831,-102.3406,United States,North America
Mexico,15.0667,120.7167,Philippines,Asia
