city_ascii,lat,lng,division
Jilotepec,19.9519,-99.5328,Estado de Mexico
Tenancingo,18.9608,-99.5906,Estado de Mexico
Tultepec,19.685,-99.1281,Estado de Mexico
Ciudad Lazaro Cardenas,17.9561,-102.1922,Michoacan
Cadereyta Jimenez,25.6,-100,Nuevo Leon
Acayucan,17.9422,-94.9103,Veracruz
Apizaco,19.4167,-98.1333,Tlaxcala
Tala,20.6525,-103.7028,Jalisco
Fuentes del Valle,19.6325,-99.1386,Estado de Mexico
Salina Cruz,16.1671,-95.2,Oaxaca
Jalpa de Mendez,18.1764,-93.0631,Tabasco
Nacajuca,18.1692,-93.0197,Tabasco
Cardenas,17.983,-93.367,Tabasco
Ciudad Lerdo,25.55,-103.5167,Durango
Tacambaro de Codallos,19.2356,-101.4569,Michoacan
Cunduacan,18.0667,-93.1667,Tabasco
Cozumel,20.5104,-86.9493,Quintana Roo
Cabo San Lucas,22.8897,-109.9156,Baja California Sur
Zacatlan,19.9319,-97.96,Puebla
Juchitan de Zaragoza,16.4333,-95.0194,Oaxaca
Tejupilco,18.9058,-100.1528,Estado de Mexico
Tamazunchale,21.2667,-98.7833,San Luis Potosi
Jacona de Plancarte,19.95,-102.3167,Estado de Mexico
Guamuchil,25.4639,-108.0794,Sinaloa
Guasave,25.5744,-108.4706,Sinaloa
Rioverde,21.93,-99.98,San Luis Potosi
Matehuala,23.6528,-100.6444,San Luis Potosi
Frontera,26.926,-101.449,Coahuila de Zaragoza
Misantla,19.9333,-96.85,Veracruz
Valle Hermoso,25.6736,-97.8144,Tamaulipas
Jiquilpan de Juarez,19.9942,-102.7172,Estado de Mexico
Colonia del Sol,22.9125,-109.9208,Baja California Sur
Huatusco,19.1489,-96.9661,Veracruz
Tecate,32.5667,-116.6331,Baja California
Valle de Bravo,19.1925,-100.1306,Estado de Mexico
Amozoc,19.0333,-98.05,Puebla
Linares,24.8597,-99.5679,Nuevo Leon
Sabinas,27.86,-101.12,Coahuila de Zaragoza
Teoloyucan,19.7442,-99.1811,Estado de Mexico
Acambaro,20.0361,-100.7314,Guanajuato
Altamira,22.3375,-97.8694,Tamaulipas
Cortazar,20.483,-100.933,Guanajuato
Cosamaloapan,18.3667,-95.8,Veracruz
Sombrerete,23.6333,-103.6397,Zacatecas
San Pedro,25.7589,-102.9844,Coahuila de Zaragoza
Temascalcingo,19.9147,-100.0036,Estado de Mexico
Tezonapa,18.6058,-96.6875,Veracruz
Etchojoa,26.8667,-109.65,Sonora
Romita,20.8708,-101.5169,Guanajuato
San Jose Iturbide,21,-100.3833,Guanajuato
Actopan,20.267,-98.933,Hidalgo
San Buenaventura,19.2641,-99.6746,Estado de Mexico
Huamantla,19.3133,-97.9228,Tlaxcala
Nuevo Casas Grandes,30.4167,-107.9167,Chihuahua
Zumpango,19.7969,-99.0992,Estado de Mexico
Acatzingo,18.9817,-97.7822,Puebla
Matamoros,25.533,-103.25,Coahuila de Zaragoza
Francisco I. Madero,25.7753,-103.2731,Coahuila de Zaragoza
Villagran,20.517,-100.983,Guanajuato
Chiapa de Corzo,16.7083,-93.0169,Chiapas
Santiago Teyahualco,19.6667,-99.1333,Estado de Mexico
Valladolid,20.6894,-88.2017,Yucatan
Ocosingo,16.9072,-92.0961,Chiapas
Ramos Arizpe,25.55,-100.9667,Coahuila de Zaragoza
Tizimin,21.1425,-88.1647,Yucatan
Cuetzalan,20.0333,-97.5167,Puebla
Loreto,22.2667,-101.9833,Zacatecas
Tlalmanalco,19.2044,-98.8025,Estado de Mexico
Moroleon,20.1333,-101.2,Guanajuato
Tlapa de Comonfort,17.5461,-98.5764,Guerrero
Puerto Escondido,15.8619,-97.0672,Oaxaca
Parras de la Fuente,25.4403,-102.1792,Coahuila de Zaragoza
Emiliano Zapata,18.8667,-99.15,Morelos
Empalme,27.9617,-110.8125,Sonora
Villa de Zaachila,16.9508,-96.7492,Oaxaca
Izucar de Matamoros,18.6,-98.4667,Puebla
Jaltipan de Morelos,17.9703,-94.7144,Veracruz
Coyotepec,19.7756,-99.2056,Morelos
Paracho de Verduzco,19.65,-102.0667,Michoacan
Playa Vicente,17.8333,-95.8167,Veracruz
Uman,20.8833,-89.75,Yucatan
San Diego de la Union,21.4656,-100.8736,Guanajuato
Perote,19.562,-97.242,Veracruz
Juan Rodriguez Clara,18,-95.4,Veracruz
La Barca,20.2903,-102.5456,Jalisco
Tonala,16.0894,-93.7514,Chiapas
Xico,19.417,-97,Veracruz
Nueva Rosita,27.939,-101.218,Coahuila de Zaragoza
Salvatierra,20.2156,-100.8961,Guanajuato
Zacatelco,19.2167,-98.2333,Tlaxcala
Sayula de Aleman,17.8833,-94.95,Veracruz
Mariano Escobedo,18.9167,-97.1333,Veracruz
Panuco,22.05,-98.1833,Veracruz
Nueva Italia de Ruiz,19.0194,-102.1089,Michoacan
Miahuatlan de Porfirio Diaz,16.3283,-96.5961,Oaxaca
Zinacantan,16.7597,-92.7222,Chiapas
Jimenez,27.13,-104.9067,Chihuahua
Tuxpan,21.8667,-105.45,Nayarit
Macuspana,17.7667,-92.6,Tabasco
Tomatlan,19.9333,-105.2333,Jalisco
Escuinapa,22.9822,-105.7031,Sinaloa
Nanchital de Lazaro Cardenas del Rio,18.0667,-94.4167,Veracruz
Soteapan,18.2333,-94.8667,Veracruz
Santa Maria Atzompa,17.0794,-96.7869,Oaxaca
Tenosique,17.4756,-91.4225,Tabasco
Putla Villa de Guerrero,17.0321,-97.9293,Oaxaca
Santa Isabel,32.6314,-115.5756,Baja California
Ticul,20.3953,-89.5339,Yucatan
Calpulalpan,19.5869,-98.5683,Hidalgo
Paso de Ovejas,19.285,-96.44,Veracruz
Abasolo,20.4511,-101.5289,Guanajuato
